rn,attester,total_attestations,most_frequently_used_schema,all_blockchains,sample_attestation_uid
50,<a href='https://etherscan.io/address/0xf12789fdba35525474fc01bcdd94d03336b5c8ca' target='_blank'>0xf1278...5c8ca</a>,166,"<a href=""https://base.easscan.org/schema/view/0xbd56cbd0f795eead76add0130853d860974ef2a8e76231d51a63a5cea7eaca01"" target=""_blank"">👉 0xbd56cbd0...cea7eaca01 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x49dfdbf05e9b4996e10689b27541b6f94370be0d9b8ccfdefc80df46a844018e"" target=""_blank"">👉 0x49dfdbf0...46a844018e 🔗</a>"
51,<a href='https://etherscan.io/address/0x3d0263e0101de2e9070737df30236867485a5208' target='_blank'>0x3d026...a5208</a>,152,"<a href=""https://base.easscan.org/schema/view/0xbf041d4625c5c945ebd820e9da9a66228d0e808e8a272e489e59e64974f810a8"" target=""_blank"">👉 0xbf041d46...4974f810a8 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x2e020354d2cac4e2f7a562843943fecf0589263a1e5fb2b4f451180aca556539"" target=""_blank"">👉 0x2e020354...0aca556539 🔗</a>"
52,<a href='https://etherscan.io/address/0x3636814ab8d82854949d5794c428b8329115755d' target='_blank'>0x36368...5755d</a>,152,"<a href=""https://arbitrum.easscan.org/schema/view/0x3969bb076acfb992af54d51274c5c868641ca5344e1aacd0b1f5e4f80ac0822f"" target=""_blank"">👉 0x3969bb07...f80ac0822f 🔗</a>",[arbitrum],"<a href=""https://arbitrum.easscan.org/attestation/view/0x1c003309ccd12d4bce9305918aaf90046a872cd76220fca8adef9e6069375912"" target=""_blank"">👉 0x1c003309...6069375912 🔗</a>"
53,<a href='https://etherscan.io/address/0x07231e0fd9f668d4aafae7a5d5f432b8e6e4fe51' target='_blank'>0x07231...4fe51</a>,126,"<a href=""https://optimism.easscan.org/schema/view/0xdf29a0c50ec254fc9c269a2ef9a8fbfea29ee2c7ecb1134ff5c7ced646242ab8"" target=""_blank"">👉 0xdf29a0c5...d646242ab8 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0x5df4a9cdede42ab3fa4970ddfd4f79073571e4ddafb5d142ecbeb77f6fb4e8d9"" target=""_blank"">👉 0x5df4a9cd...7f6fb4e8d9 🔗</a>"
54,<a href='https://etherscan.io/address/0x3e58c43bf12e8c0ad8f11493056c165e10308295' target='_blank'>0x3e58c...08295</a>,117,"<a href=""https://base.easscan.org/schema/view/0x1cb0dfd20ef5c0e6ad82ca9a5d8d6f63a6ead04c7c8ad0f43a39f951ab15cbd9"" target=""_blank"">👉 0x1cb0dfd2...51ab15cbd9 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x7f320140d2e3a7b15a5add9a2996202279b44fe55af9419d641411fc12c4d937"" target=""_blank"">👉 0x7f320140...fc12c4d937 🔗</a>"
55,<a href='https://etherscan.io/address/0xef576010b200069f4033f15771db63e7b7c81795' target='_blank'>0xef576...81795</a>,112,"<a href=""https://base.easscan.org/schema/view/0x97431f9b6fde65954b44b7e34ae220df9af55184ad69f7ffdee5afc213575690"" target=""_blank"">👉 0x97431f9b...c213575690 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x8e6f370cfcfd6b399686f4cf6b34d3fa32a1336fc43a25abc7cf2a33654d22af"" target=""_blank"">👉 0x8e6f370c...33654d22af 🔗</a>"
56,<a href='https://etherscan.io/address/0x011e70d61c70f8bd30d4e5df49746ca445ec5ab1' target='_blank'>0x011e7...c5ab1</a>,107,"<a href=""https://optimism.easscan.org/schema/view/0x98ef220cd2f94de79fbc343ef982bfa8f5b315dec6a08f413680ecb7085624d7"" target=""_blank"">👉 0x98ef220c...b7085624d7 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0xf991e1ad846ab2b076cd85525649cbb6259e08be014d615b7bae09d99697091f"" target=""_blank"">👉 0xf991e1ad...d99697091f 🔗</a>"
57,<a href='https://etherscan.io/address/0x0fb166cddf1387c5b63ffa25721299fd7b068f3f' target='_blank'>dakh.eth</a>,101,"<a href=""https://arbitrum.easscan.org/schema/view/0x85500e806cf1e74844d51a20a6d893fe1ed6f6b0738b50e43d774827d08eca61"" target=""_blank"">👉 0x85500e80...27d08eca61 🔗</a>",[arbitrum optimism base ethereum polygon],"<a href=""https://arbitrum.easscan.org/attestation/view/0x3da2528894d9d517be8a8fc5be7042cb17a77a7c67f4f50afc7f452a17c856dd"" target=""_blank"">👉 0x3da25288...2a17c856dd 🔗</a>"
58,<a href='https://etherscan.io/address/0x6457b4db9575dbc1bac391dae4b239722c4000d0' target='_blank'>0x6457b...000d0</a>,91,"<a href=""https://optimism.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[optimism base],"<a href=""https://optimism.easscan.org/attestation/view/0x1f699ea8913bea3a01d5e55909ee06b4d0de81a6c5a89cccdab38cd0e5c4d635"" target=""_blank"">👉 0x1f699ea8...d0e5c4d635 🔗</a>"
59,<a href='https://etherscan.io/address/0xea7aa61931cc1cd1707edd8656963a7a3b174057' target='_blank'>0xea7aa...74057</a>,78,"<a href=""https://base.easscan.org/schema/view/0xce4ebd2b682f9a2a55a61b9337099917cbda6e2235e09aaba7806b16fc283150"" target=""_blank"">👉 0xce4ebd2b...16fc283150 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x082c23e4f4c56296cdc7110449d1803d100b15e405c04cd396a2e7504d8ce70d"" target=""_blank"">👉 0x082c23e4...504d8ce70d 🔗</a>"
60,<a href='https://etherscan.io/address/0x9581587991da459409b4e7e3b44daa1e65e589ec' target='_blank'>nounsamigos.eth</a>,64,"<a href=""https://base.easscan.org/schema/view/0x461bafda23334b0c11e27ce1d7186eaeb6ac54e0ddc0ca5e1b7c3586e6829e08"" target=""_blank"">👉 0x461bafda...86e6829e08 🔗</a>",[base optimism],"<a href=""https://base.easscan.org/attestation/view/0x4d196fb34bc8f3ab9a4afa04e62cbaa89528dbe10353236e861274a34324e71c"" target=""_blank"">👉 0x4d196fb3...a34324e71c 🔗</a>"
61,<a href='https://etherscan.io/address/0xc70ded7f7c8b0622b65524820dc995e2e2c31fa4' target='_blank'>0xc70de...31fa4</a>,61,"<a href=""https://polygon.easscan.org/schema/view/0xa8b343a006d23cc0985b80645b1d839b3ae76197a819f609dd64704c4a2155a9"" target=""_blank"">👉 0xa8b343a0...4c4a2155a9 🔗</a>",[polygon optimism],"<a href=""https://polygon.easscan.org/attestation/view/0xb50749a2c54a20ee21401cb32241deddf3937b90398e95b202a2d76128e52a65"" target=""_blank"">👉 0xb50749a2...6128e52a65 🔗</a>"
62,<a href='https://etherscan.io/address/0x23b7a53ecfd93803c63b97316d7362eae59c55b6' target='_blank'>0x23b7a...c55b6</a>,61,"<a href=""https://optimism.easscan.org/schema/view/0x721c17b065dccc5c916e0c2708d0ef50f1810591b76d0402ff6fe5accbd8488f"" target=""_blank"">👉 0x721c17b0...accbd8488f 🔗</a>",[optimism arbitrum celo],"<a href=""https://optimism.easscan.org/attestation/view/0x838fa5fcdf99f4e6e28aef702d1780b155015602413c15e7242819e2e5dd0113"" target=""_blank"">👉 0x838fa5fc...e2e5dd0113 🔗</a>"
63,<a href='https://etherscan.io/address/0x01a93612f26100b6e18a2e3dd57df5c3ccafeca1' target='_blank'>0x01a93...feca1</a>,59,"<a href=""https://arbitrum.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[arbitrum],"<a href=""https://arbitrum.easscan.org/attestation/view/0x3d392039380790a151e2a8d06fe992996cce88150220e8dd56f91bd974f353bb"" target=""_blank"">👉 0x3d392039...d974f353bb 🔗</a>"
64,<a href='https://etherscan.io/address/0xe26067c76fdbe877f48b0a8400cf5db8b47af0fe' target='_blank'>0xkek.eth</a>,56,"<a href=""https://base.easscan.org/schema/view/0x8c138d949f94e74f6503a8633bb25982946709fddc196764e26c9325b8c04f73"" target=""_blank"">👉 0x8c138d94...25b8c04f73 🔗</a>",[base optimism],"<a href=""https://base.easscan.org/attestation/view/0xbd707395ab1a3fb3a2af133cd324a2f4dea26683fc3891deddd361088615d8a3"" target=""_blank"">👉 0xbd707395...088615d8a3 🔗</a>"
65,<a href='https://etherscan.io/address/0x826976d7c600d45fb8287ca1d7c76fc8eb732030' target='_blank'>divinecomedian.eth</a>,52,"<a href=""https://optimism.easscan.org/schema/view/0x97b0c9911936fad57e77857fac6eef6771f8d0bf025be9549214e32bf9e2415a"" target=""_blank"">👉 0x97b0c991...2bf9e2415a 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0x9b7fc60a0adfc258d9748c6047480ffe5fe5f8238c768071ab53b843ad02c0e6"" target=""_blank"">👉 0x9b7fc60a...43ad02c0e6 🔗</a>"
66,<a href='https://etherscan.io/address/0x5a5d9ab7b1bd978f80909503ebb828879daca9c3' target='_blank'>cerv1.eth</a>,51,"<a href=""https://optimism.easscan.org/schema/view/0x3e3e2172aebb902cf7aa6e1820809c5b469af139e7a4265442b1c22b97c6b2a5"" target=""_blank"">👉 0x3e3e2172...2b97c6b2a5 🔗</a>",[optimism arbitrum],"<a href=""https://optimism.easscan.org/attestation/view/0xf8336782161812639b2017257dbd4cd15fd9b27d33857d7c9d7403241efa41c2"" target=""_blank"">👉 0xf8336782...241efa41c2 🔗</a>"
67,<a href='https://etherscan.io/address/0xc6888c031d2d25c956c02b0df518d3498e8ced73' target='_blank'>0xc6888...ced73</a>,50,"<a href=""https://arbitrum.easscan.org/schema/view/0x8c9869749033d77b67d16dc5b6fe9b7a701a2794cdf597bc3f1c079af69a1eef"" target=""_blank"">👉 0x8c986974...9af69a1eef 🔗</a>",[arbitrum],"<a href=""https://arbitrum.easscan.org/attestation/view/0x92961099c4df88f91e3b392710facb95f88257f7a9fe1f9b88cb5adb791645ca"" target=""_blank"">👉 0x92961099...db791645ca 🔗</a>"
68,<a href='https://etherscan.io/address/0xd893d5fbfb01bfe093534fed53112b4635ec83dd' target='_blank'>bdalawyer.eth</a>,50,"<a href=""https://.easscan.org/schema/view/0xcc694a2d3ed628813097db0c60fb6a943e14d3bb1be2fe1ab1313e1ff19479cd"" target=""_blank"">👉 0xcc694a2d...1ff19479cd 🔗</a>",[ethereum],"<a href=""https://.easscan.org/attestation/view/0x45b375b51febe963a2270a0c77f4c29b225d0f82103a752808493df062e71fae"" target=""_blank"">👉 0x45b375b5...f062e71fae 🔗</a>"
69,<a href='https://etherscan.io/address/0x87feed6162cb7dfe6b62f64366742349bf4d1b05' target='_blank'>impactevaluator.eth</a>,50,"<a href=""https://optimism.easscan.org/schema/view/0x739257b1bf8533a29a5c59a6dda5905c50f7c2bf436d709cd9ea7bfabbe5172b"" target=""_blank"">👉 0x739257b1...fabbe5172b 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0xaa1ea69d88e6e49497968931d3dc283232e501ca53bbc5b5f6f0f37fe87e0835"" target=""_blank"">👉 0xaa1ea69d...7fe87e0835 🔗</a>"
70,<a href='https://etherscan.io/address/0x9bb69c7ca342b803dd3c8a1f5ccd042222b8cb31' target='_blank'>0x9bb69...8cb31</a>,50,"<a href=""https://base.easscan.org/schema/view/0xed7706fecfa661e98b5c8bd39672fa4e12ad2013bef191f65bab88ad7929a5ea"" target=""_blank"">👉 0xed7706fe...ad7929a5ea 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xf7e23468a32d2bf5a09f808fd796db67f9cff67a7e05927769d4edafea54b96e"" target=""_blank"">👉 0xf7e23468...afea54b96e 🔗</a>"
71,<a href='https://etherscan.io/address/0xa074b0dc54ad2a2bf2ad792c0d41c2b3b80a01e5' target='_blank'>0xa074b...a01e5</a>,46,"<a href=""https://polygon.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[polygon],"<a href=""https://polygon.easscan.org/attestation/view/0x19982f182582f0953670c8f23f6c14ebc4cde46748a1ac2482411a306e71c2a1"" target=""_blank"">👉 0x19982f18...306e71c2a1 🔗</a>"
72,<a href='https://etherscan.io/address/0xef87786b3e80191526838bc09ea423def5bf1f3f' target='_blank'>0xef877...f1f3f</a>,46,"<a href=""https://celo.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[celo],"<a href=""https://celo.easscan.org/attestation/view/0xceff08d2a7b016225f6951e97682f4a26194c8da2ce74eed9a162a780eb0cc62"" target=""_blank"">👉 0xceff08d2...780eb0cc62 🔗</a>"
73,<a href='https://etherscan.io/address/0x59ed9db97d36db03ccf1602bbaf242f8529e39af' target='_blank'>0x59ed9...e39af</a>,46,"<a href=""https://scroll.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[scroll],"<a href=""https://scroll.easscan.org/attestation/view/0xf285e450a66e8fb14c77cbd428c93c25acc2352e9e7d6f895839c645ac3bd8a7"" target=""_blank"">👉 0xf285e450...45ac3bd8a7 🔗</a>"
74,<a href='https://etherscan.io/address/0x89e3c0f968766c431525ac2f176ff1f27f480d03' target='_blank'>0x89e3c...80d03</a>,43,"<a href=""https://base.easscan.org/schema/view/0xce4ebd2b682f9a2a55a61b9337099917cbda6e2235e09aaba7806b16fc283150"" target=""_blank"">👉 0xce4ebd2b...16fc283150 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xf6b6822f25dfab19d59f3fa3794b3b8aac46d361477a1cd5f52ada44ab405cf3"" target=""_blank"">👉 0xf6b6822f...44ab405cf3 🔗</a>"
75,<a href='https://etherscan.io/address/0x6bbcc7d0e661a4f5441f74dc0ab324ac4327d940' target='_blank'>0x6bbcc...7d940</a>,43,"<a href=""https://base.easscan.org/schema/view/0xc15bb007fcd98a5a99c0fd98286fba2f62f997de62c11ea24dfd30d274eef99f"" target=""_blank"">👉 0xc15bb007...d274eef99f 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xc480e8862c894283d4158698d2ef887905446ed4bebbb8dd216eb7844ea842a7"" target=""_blank"">👉 0xc480e886...844ea842a7 🔗</a>"
76,<a href='https://etherscan.io/address/0x616bdf7e9041c6f76b0ff6de9af5da2c88a9ac98' target='_blank'>0x616bd...9ac98</a>,42,"<a href=""https://arbitrum.easscan.org/schema/view/0xcc1f2c6308ffbb7ac5b915641cbc74b6d6404bcdedaf304f9637e5ef7ecc593d"" target=""_blank"">👉 0xcc1f2c63...ef7ecc593d 🔗</a>",[arbitrum],"<a href=""https://arbitrum.easscan.org/attestation/view/0xad8310edc3ee7c563c437c868a850b86249659c0da3eaff7b49e0f8fe9c62886"" target=""_blank"">👉 0xad8310ed...8fe9c62886 🔗</a>"
77,<a href='https://etherscan.io/address/0x2bf22cae1dc34f265cae03f6ff419177b4f4fbb3' target='_blank'>0x2bf22...4fbb3</a>,42,"<a href=""https://.easscan.org/schema/view/0x44d562ac1d7cd77e232978687fea027ace48f719cf1d58c7888e509663bb87fc"" target=""_blank"">👉 0x44d562ac...9663bb87fc 🔗</a>",[ethereum],"<a href=""https://.easscan.org/attestation/view/0x3dcccc67c4a4dbfc04e6764813d6c126377253b9ee4fba5f6d7c378edfb06c84"" target=""_blank"">👉 0x3dcccc67...8edfb06c84 🔗</a>"
78,<a href='https://etherscan.io/address/0xda70e193b00ca3a5fb455c28d63fe862382b4088' target='_blank'>0xda70e...b4088</a>,41,"<a href=""https://optimism.easscan.org/schema/view/0x77a37bb52f592a325728585536c98ed25f5e290a316b1bb76e9f639f7011afc2"" target=""_blank"">👉 0x77a37bb5...9f7011afc2 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0x5886fb0c92e196014e9332cfd8cf1dd1f71598cfc9cc036858cea5a34f7bda9e"" target=""_blank"">👉 0x5886fb0c...a34f7bda9e 🔗</a>"
79,<a href='https://etherscan.io/address/0x621477dba416e12df7ff0d48e14c4d20dc85d7d9' target='_blank'>0x62147...5d7d9</a>,41,"<a href=""https://optimism.easscan.org/schema/view/0xfdcfdad2dbe7489e0ce56b260348b7f14e8365a8a325aef9834818c00d46b31b"" target=""_blank"">👉 0xfdcfdad2...c00d46b31b 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0xad5af856cdbdc14f252adade03f46599d249826f8de29ed0756130a2ecf0e551"" target=""_blank"">👉 0xad5af856...a2ecf0e551 🔗</a>"
80,<a href='https://etherscan.io/address/0x1cfe6b67a32b37ae0611142f10498c11eec7179e' target='_blank'>0x1cfe6...7179e</a>,40,"<a href=""https://optimism.easscan.org/schema/view/0xfc9676b6713fe48aae6a614b4fcc84e54a2047550f85d4df68706ba264086c64"" target=""_blank"">👉 0xfc9676b6...a264086c64 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0x4f8fa1c2b8a1b7ba0a970a040dd3c88d1d3cc8aa2962640fa0b62af6ea09d183"" target=""_blank"">👉 0x4f8fa1c2...f6ea09d183 🔗</a>"
81,<a href='https://etherscan.io/address/0x8d22337d9db8c88394790f9e8786358bde264ecb' target='_blank'>0x8d223...64ecb</a>,40,"<a href=""https://base.easscan.org/schema/view/0xdaef21c0f7e40e6f1fd4afe8fd0a2a438176bf2a333e47f93515feac14a1cb1a"" target=""_blank"">👉 0xdaef21c0...ac14a1cb1a 🔗</a>",[base optimism],"<a href=""https://base.easscan.org/attestation/view/0x679afdcfd7be46c146d6273fd6662ab04af45470d4a36a29bbbea2a43d2a47b6"" target=""_blank"">👉 0x679afdcf...a43d2a47b6 🔗</a>"
82,<a href='https://etherscan.io/address/0x62ba98a99d5de850a8ab6e2450a8808355f46c03' target='_blank'>easfellowship.eth</a>,39,"<a href=""https://base.easscan.org/schema/view/0x686175e3c180cda35478470612a3718f610a238d9b7c7d2fd9beb946ef0dd99d"" target=""_blank"">👉 0x686175e3...46ef0dd99d 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xe99ae9b8f8c2946db688d26a654c96c04da1cb400e7b38ba5f0ec1949f268988"" target=""_blank"">👉 0xe99ae9b8...949f268988 🔗</a>"
83,<a href='https://etherscan.io/address/0x8ed91f4e13ad1d74205a05e2efeb1db5175845a3' target='_blank'>0x8ed91...845a3</a>,39,"<a href=""https://optimism.easscan.org/schema/view/0x3e3e2172aebb902cf7aa6e1820809c5b469af139e7a4265442b1c22b97c6b2a5"" target=""_blank"">👉 0x3e3e2172...2b97c6b2a5 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0x2d5c10f5bf9e70aa1ebefd5094b3f5d9d494768e0d6f03cdb749c0470b613280"" target=""_blank"">👉 0x2d5c10f5...470b613280 🔗</a>"
84,<a href='https://etherscan.io/address/0xf6937e015d5337f648fe01a03a74c9faa4f90d54' target='_blank'>0xf6937...90d54</a>,38,"<a href=""https://optimism.easscan.org/schema/view/0x569cab01c87d76b5e85706a4eca2a10a7499758a3e7aa0e81feeb3aaf95255be"" target=""_blank"">👉 0x569cab01...aaf95255be 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0xa786066650a07dd8007e3a37fa08d7818ebff3b1a8d85e96b1f29be0c868067e"" target=""_blank"">👉 0xa7860666...e0c868067e 🔗</a>"
85,<a href='https://etherscan.io/address/0x420a02a64ee3583577bce55a2f9b85f883022995' target='_blank'>vrn.eth</a>,38,"<a href=""https://optimism.easscan.org/schema/view/0x7e7356f449e9238c4b2d2b4ba18a00c7cc1604e5828a8442cf781bd9d625ae32"" target=""_blank"">👉 0x7e7356f4...d9d625ae32 🔗</a>",[optimism],"<a href=""https://optimism.easscan.org/attestation/view/0xa59e43a18ad4c67f674ef6d99e4750a345c87a567e3aa64f715525c72a8e7569"" target=""_blank"">👉 0xa59e43a1...c72a8e7569 🔗</a>"
86,<a href='https://etherscan.io/address/0xf3ad97364bccc3ea0582ede58c363888f8c4ec85' target='_blank'>diogoj.eth</a>,35,"<a href=""https://arbitrum.easscan.org/schema/view/0xd25ccdfbf87659a9081681eb90598d8b944ed28544da7d57c3ccbe6e6422cc15"" target=""_blank"">👉 0xd25ccdfb...6e6422cc15 🔗</a>",[arbitrum celo],"<a href=""https://arbitrum.easscan.org/attestation/view/0x0fbebd8752dba20c86298f3062e5241edd476b9b383fc9ec073fd1e38ddec1a3"" target=""_blank"">👉 0x0fbebd87...e38ddec1a3 🔗</a>"
87,<a href='https://etherscan.io/address/0x2a3ce312571612d2ca3a05f4ab5f6abede266271' target='_blank'>0x2a3ce...66271</a>,33,"<a href=""https://optimism.easscan.org/schema/view/0x5f5afd9626d9d0cd46c7de120032c2470da00c4be9bcef1dd75fa8c074f17e70"" target=""_blank"">👉 0x5f5afd96...c074f17e70 🔗</a>",[optimism base],"<a href=""https://optimism.easscan.org/attestation/view/0x9213170dcd8da4bda48614e50793890af7dfe0d776a88c64686ef8fa46574906"" target=""_blank"">👉 0x9213170d...fa46574906 🔗</a>"
88,<a href='https://etherscan.io/address/0xf43a72c1a41b7361728c83699f69b5280161f0a5' target='_blank'>0xf43a7...1f0a5</a>,33,"<a href=""https://base.easscan.org/schema/view/0x6e333418327e1082bc2c5366560c703b447901a4b8d4ca9c754e9a8460eedbde"" target=""_blank"">👉 0x6e333418...8460eedbde 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xcb1bc088aca28950e1eb0ec9675cee2ac2547fe71262da56e3dab9d9e972d72b"" target=""_blank"">👉 0xcb1bc088...d9e972d72b 🔗</a>"
89,<a href='https://etherscan.io/address/0xc00e324d2c4f77835075fc63c27e329694a66a3d' target='_blank'>0xc00e3...66a3d</a>,33,"<a href=""https://base.easscan.org/schema/view/0x0c85fd0843cfa881aaf811d0451b0ea54fa76e3e41f82f2edbf510ef0b82d918"" target=""_blank"">👉 0x0c85fd08...ef0b82d918 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0xb6258f92757342906f63c714b45812c70650244f808e9cde67a562702f32fb3b"" target=""_blank"">👉 0xb6258f92...702f32fb3b 🔗</a>"
90,<a href='https://etherscan.io/address/0xb03e094e643a50e145e804b35787c28292e6afe4' target='_blank'>servais.eth</a>,33,"<a href=""https://optimism.easscan.org/schema/view/0xdaef21c0f7e40e6f1fd4afe8fd0a2a438176bf2a333e47f93515feac14a1cb1a"" target=""_blank"">👉 0xdaef21c0...ac14a1cb1a 🔗</a>",[optimism base],"<a href=""https://optimism.easscan.org/attestation/view/0x620bc879813d2a42fa71c553f5f953ffc1e692d6b845a8c7d72f0fdd6795008c"" target=""_blank"">👉 0x620bc879...dd6795008c 🔗</a>"
91,<a href='https://etherscan.io/address/0x365be3e45b591423e5b867a7de04ccea67ca67e7' target='_blank'>0x365be...a67e7</a>,32,"<a href=""https://base.easscan.org/schema/view/0x4e03dab8e71ee15fa8f04fa6eacd05f4e237b4ee38f6bee4e9938a6a7cd981cf"" target=""_blank"">👉 0x4e03dab8...6a7cd981cf 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x9a8124160b7e943e40ef3da03cafe2d57e8524a3c78fd1ff648118161b4e5f93"" target=""_blank"">👉 0x9a812416...161b4e5f93 🔗</a>"
92,<a href='https://etherscan.io/address/0x68929f67662a19bcc759b9bc9b9f1dba779ad3ba' target='_blank'>0x68929...ad3ba</a>,32,"<a href=""https://celo.easscan.org/schema/view/0x1636b2944b2b3a8d9553323543b8b0d4653915ffa4038c5bd18400fbffc368ad"" target=""_blank"">👉 0x1636b294...fbffc368ad 🔗</a>",[celo],"<a href=""https://celo.easscan.org/attestation/view/0xb447d540f66013686376965fc619949e2e34e867e89b97c31f6bc45eab86259a"" target=""_blank"">👉 0xb447d540...5eab86259a 🔗</a>"
93,<a href='https://etherscan.io/address/0x8791ac8c099314bb1d1514d76de13a1e80275950' target='_blank'>0x8791a...75950</a>,31,"<a href=""https://celo.easscan.org/schema/view/0x9895e82115987d8e3e02b35ced92e6a0509293890333f58f50ec291b34853dac"" target=""_blank"">👉 0x9895e821...1b34853dac 🔗</a>",[celo],"<a href=""https://celo.easscan.org/attestation/view/0x89918813ed6b664888d52aed0da6377ce75bd6ec703e0f4e63b777aca5c016b8"" target=""_blank"">👉 0x89918813...aca5c016b8 🔗</a>"
94,<a href='https://etherscan.io/address/0x0c558b655d388f7041bc4fbfbdf02ae1a605f19b' target='_blank'>0x0c558...5f19b</a>,30,"<a href=""https://base.easscan.org/schema/view/0x4e36b4880c16106a434c64c4217d519f98711ec82b44c09b0d3e10971bbb11e8"" target=""_blank"">👉 0x4e36b488...971bbb11e8 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x5e31a2c79dd84e6ebff0226203a03cba23bca9dbda4ac96bb3d6d6211b4d7efd"" target=""_blank"">👉 0x5e31a2c7...211b4d7efd 🔗</a>"
95,<a href='https://etherscan.io/address/0xd9f2d8da9c8ff285080fe0df6285f3551bf1397b' target='_blank'>osuji.eth</a>,30,"<a href=""https://base.easscan.org/schema/view/0x34f3ef134435e22a6f4f0caf150f5a1ab6cb7b50f4416b327419efb96297dd54"" target=""_blank"">👉 0x34f3ef13...b96297dd54 🔗</a>",[base],"<a href=""https://base.easscan.org/attestation/view/0x8f18e10aaa02311c131049ae7a41c44c12dea559d85c3b69027b865c25b2d5b1"" target=""_blank"">👉 0x8f18e10a...5c25b2d5b1 🔗</a>"
96,<a href='https://etherscan.io/address/0xc1d9c7cdb33107f1fea871f2e874b9a95ee3f260' target='_blank'>0xc1d9c...3f260</a>,28,"<a href=""https://scroll.easscan.org/schema/view/0xba4934720e4c7fc2978acd7c8b4e9cb72288e72f835bd19b2eb4cac99d79d220"" target=""_blank"">👉 0xba493472...c99d79d220 🔗</a>",[scroll],"<a href=""https://scroll.easscan.org/attestation/view/0xffb9de7d760141b4b0154ce0d9ab42eca6068e954750674e34ab1fed703f2771"" target=""_blank"">👉 0xffb9de7d...ed703f2771 🔗</a>"
97,<a href='https://etherscan.io/address/0x2ac475444b4e45cea04fa41c7cb608e9e1f27d6d' target='_blank'>0x2ac47...27d6d</a>,27,"<a href=""https://scroll.easscan.org/schema/view/0x3f60dfeb9434008892fd3bf2470126cc44930a688ec7231168948efb2b1aa6f9"" target=""_blank"">👉 0x3f60dfeb...fb2b1aa6f9 🔗</a>",[scroll],"<a href=""https://scroll.easscan.org/attestation/view/0x90c315e971b1e0f7ba6b8d0926fa3b1b168cbc1a6024bb6c80db48710e553436"" target=""_blank"">👉 0x90c315e9...710e553436 🔗</a>"
98,<a href='https://etherscan.io/address/0x0ea26051f7657d59418da186137141cea90d0652' target='_blank'>wasabinetwork.eth</a>,27,"<a href=""https://optimism.easscan.org/schema/view/0x13adc8df8a7324b1651e8bcec948b3e2d4fcfa2a88a52136206cb9ea44836e93"" target=""_blank"">👉 0x13adc8df...ea44836e93 🔗</a>",[optimism arbitrum],"<a href=""https://optimism.easscan.org/attestation/view/0x7f6526a1236f5c34876f1c95d632a81c18ade39cc6ec67678295128967c079b0"" target=""_blank"">👉 0x7f6526a1...8967c079b0 🔗</a>"
